cajero,tick,utilizacion
Cajero_11_10,176,0
Cajero_11_10,177,0
Cajero_11_10,178,0
Cajero_11_10,179,0
Cajero_11_10,180,0
Cajero_11_10,181,0
Cajero_11_10,182,0
Cajero_11_10,183,0
Cajero_11_10,184,0
Cajero_11_10,185,0
Cajero_11_10,186,0
Cajero_11_10,187,0
Cajero_11_10,188,0
Cajero_11_10,189,0
Cajero_11_10,190,0
Cajero_11_10,191,0
Cajero_11_10,192,0
Cajero_11_10,193,0
Cajero_11_10,194,0
Cajero_11_10,195,0
Cajero_11_10,196,0
Cajero_11_10,197,0
Cajero_11_10,198,0
Cajero_11_10,199,0
Cajero_11_10,200,0
Cajero_11_10,201,0
Cajero_11_10,202,0
Cajero_11_10,203,0
Cajero_11_10,204,0
Cajero_11_10,205,0
Cajero_11_10,206,0
Cajero_11_10,207,0
Cajero_11_10,208,0
Cajero_11_11,0,0
Cajero_11_11,1,0
Cajero_11_11,2,0
Cajero_11_11,3,0
Cajero_11_11,4,0
Cajero_11_11,5,0
Cajero_11_11,6,0
Cajero_11_11,7,0
Cajero_11_11,8,0
Cajero_11_11,9,0
Cajero_11_11,10,0
Cajero_11_11,11,0
Cajero_11_11,12,0
Cajero_11_11,13,0
Cajero_11_11,14,0
Cajero_11_11,15,0
Cajero_11_11,16,0
Cajero_11_11,17,0
Cajero_11_11,18,0
Cajero_11_11,19,0
Cajero_11_11,20,0
Cajero_11_11,21,0
Cajero_11_11,22,0
Cajero_11_11,23,0
Cajero_11_11,24,0
Cajero_11_11,25,0
Cajero_11_11,26,0
Cajero_11_11,27,0
Cajero_11_11,28,0
Cajero_11_11,29,0
Cajero_11_11,30,0
Cajero_11_11,31,0
Cajero_11_11,32,0
Cajero_11_11,33,0
Cajero_11_11,34,0
Cajero_11_11,35,0
Cajero_11_11,36,0
Cajero_11_11,37,0
Cajero_11_11,38,0
Cajero_11_11,39,0
Cajero_11_11,40,0
Cajero_11_11,41,0
Cajero_11_11,42,0
Cajero_11_11,43,0
Cajero_11_11,44,0
Cajero_11_11,45,0
Cajero_11_11,46,0
Cajero_11_11,47,0
Cajero_11_11,48,0
Cajero_11_11,49,0
Cajero_11_11,50,0
Cajero_11_11,51,0
Cajero_11_11,52,0
Cajero_11_11,53,0
Cajero_11_11,54,0
Cajero_11_11,55,0
Cajero_11_11,56,0
Cajero_11_11,57,0
Cajero_11_11,58,0
Cajero_11_11,59,0
Cajero_11_11,60,0
Cajero_11_11,61,0
Cajero_11_11,62,0
Cajero_11_11,63,0
Cajero_11_11,64,0
Cajero_11_11,65,0
Cajero_11_11,66,0
Cajero_11_11,67,0
Cajero_11_11,68,1
Cajero_11_11,69,1
Cajero_11_11,70,1
Cajero_11_11,71,0
Cajero_11_11,72,0
Cajero_11_11,73,0
Cajero_11_11,74,0
Cajero_11_11,75,0
Cajero_11_11,76,0
Cajero_11_11,77,0
Cajero_11_11,78,0
Cajero_11_11,79,0
Cajero_11_11,80,0
Cajero_11_11,81,0
Cajero_11_11,82,0
Cajero_11_11,83,0
Cajero_11_11,84,0
Cajero_11_11,85,0
Cajero_11_11,86,0
Cajero_11_11,87,0
Cajero_11_11,88,0
Cajero_11_11,89,0
Cajero_11_11,90,0
Cajero_11_11,91,0
Cajero_11_11,92,0
Cajero_11_11,93,0
Cajero_11_11,94,0
Cajero_11_11,95,0
Cajero_11_11,96,0
Cajero_11_11,97,0
Cajero_11_11,98,0
Cajero_11_11,99,0
Cajero_11_11,100,0
Cajero_11_11,101,0
Cajero_11_11,102,0
Cajero_11_11,103,0
Cajero_11_11,104,0
Cajero_11_11,105,0
Cajero_11_11,106,0
Cajero_11_11,107,0
Cajero_11_11,108,0
Cajero_11_11,109,0
Cajero_11_11,110,0
Cajero_11_11,111,0
Cajero_11_11,112,0
